,Max Acc thresh,Max Acc,Max individual Acc thresh,Max individual Acc,Null Acc,Max F1 thresh,Max F1,Max individual F1 thresh,Max individual F1,Null F1,AUROC,Individual AUROC,Null AUROC,runtime,data_preprocess.resolution,data_preprocess.normalize,label_path,method.max_lag,method.filter_mode,method.architecture
2024-11-05 07:14:25.4945,0.3507664519256226,0.8394777265745008,0.0496527102708638,0.869431643625192,0.8333333333333334,-1.41485579065469,0.2857142857142857,0.0940703371634338,0.4592860800234071,0.2857142857142857,0.4911165853785149,0.5129032258064515,0.5,0 days 00:10:03.933001,6H,False,1_random_3,3,None,transformer
2024-11-05 09:31:39.8530,0.0351612354896703,0.8341013824884793,0.002012491914412,0.8366615463389655,0.8333333333333334,0.1362565903152323,0.2857142857142857,0.0022052663537463,0.3005632360471069,0.2857142857142857,0.5078402363373375,0.5076804915514593,0.5,0 days 00:00:25.176392,12H,True,1_random_3,5,None,transformer
2024-11-05 07:03:52.6732,0.0298084930123822,0.8338453661034306,0.0014342090629257,0.837173579109063,0.8333333333333334,0.089022460285286,0.2857142857142857,0.0015930658662602,0.3021724818959841,0.2857142857142857,0.5089081904006834,0.5090629800307219,0.5,0 days 00:00:22.428772,6H,True,1_random_3,3,None,transformer
2024-11-05 11:13:08.9456,0.6172820086531989,0.8379416282642089,0.1981542217948548,0.8678955453149002,0.8333333333333334,-0.0955616785942089,0.2857769973661105,0.5324099999638134,0.4589203423304805,0.2857142857142857,0.4939563615942389,0.5116743471582181,0.5,0 days 00:06:40.343794,24H,False,1_random_3,5,None,transformer
2024-11-05 01:13:40.0547,0.5750429981668335,0.8333333333333334,0.0019026019496855,0.8369175627240142,0.8333333333333334,0.0954728297270827,0.2857142857142857,0.0017109703744945,0.3016604491258868,0.2857142857142857,0.5073517995474291,0.5072196620583718,0.5,0 days 00:00:28.637371,15min,True,1_random_3,5,None,transformer
2024-11-05 11:01:08.4974,0.0187938380716498,0.8341013824884793,0.0013102036788604,0.8369175627240142,0.8333333333333334,0.2493655078315958,0.2857142857142857,0.0019559877879194,0.3010752688172042,0.2857142857142857,0.5081507594366224,0.508294930875576,0.5,0 days 00:00:22.025859,24H,True,1_random_3,3,None,transformer
2024-11-05 09:47:55.8688,0.627288804857369,0.8417818740399385,0.0909519685707424,0.8671274961597543,0.8333333333333334,-0.0806207784352614,0.2857142857142857,0.2384968159824329,0.4566381391266183,0.2857142857142857,0.4943730666043733,0.5138248847926268,0.5,0 days 00:09:24.704588,12H,False,1_random_3,5,None,transformer
2024-11-05 07:25:01.2849,0.2920518357525486,0.840757808499744,0.0461708621059928,0.869431643625192,0.8333333333333334,-0.1757081585562634,0.2857142857142857,0.0807599454405258,0.464062614293029,0.2857142857142857,0.5014688497667537,0.5192012288786483,0.5,0 days 00:10:32.242674,6H,False,1_random_3,5,None,transformer
2024-11-05 04:18:42.3177,0.0739407733750939,0.8333333333333334,0.0019214334128595,0.8376856118791601,0.8333333333333334,0.465508140861845,0.2857142857142857,0.0020519605836217,0.3049520883622265,0.2857142857142857,0.5099610430367082,0.5098310291858679,0.5,0 days 00:00:39.935029,1H,True,1_random_3,5,None,transformer
2024-11-05 01:31:31.8797,0.1930542604716338,0.8341013824884793,0.0232966904377316,0.8571428571428571,0.8333333333333334,-3.832391777410928e-06,0.286535485297369,0.0153314422144213,0.4175627240143368,0.2857142857142857,0.4468347172375714,0.4614439324116743,0.5,0 days 00:09:50.772707,15min,False,1_random_3,5,None,transformer
